userMediaCount,userFollowerCount,userFollowingCount,userHasHighlighReels,userHasExternalUrl,userTagsCount,userBiographyLength,usernameLength,usernameDigitCount,automatedBehaviour,combined_posts
97,1612,7108,0,1,36,133,12,0,1,-2864588633329782141
863,3028,912,1,0,77,99,11,0,1,3984059944561358176
149,5213,1157,1,1,56,120,18,0,1,-5598427377043881870
33,12423,1763,0,0,2,55,13,0,1,-959480697426849323
1000,9496,2412,1,0,91,33,8,0,1,-7955951977649335213
74,3093,1087,1,1,266,74,10,0,1,8923198218706492191
277,5896,1880,1,0,39,85,11,0,1,5567207901549926490
176,7957,2801,1,1,57,138,10,0,1,-3073471616017938372
477,4277,1734,1,1,314,150,7,0,1,3049185955102233849
230,9997,1219,1,0,196,85,11,0,1,1191814629165410454
150,5795,301,1,1,35,89,10,0,1,6427985814914426894
259,7099,2259,1,0,165,94,12,0,1,6824563636929893013
254,1640,2580,1,1,54,71,14,0,1,-3751454217470283633
24,1159,401,1,1,11,57,13,0,1,303699091442046124
74,6462,5357,1,0,14,44,6,0,1,-494082967901920236
3,7625,738,1,0,0,144,13,0,1,244592164682742674
584,1285,2755,1,0,31,112,14,0,1,-8093366625252315699
216,4335,1334,0,0,23,105,14,0,1,-5263588281798973959
12,4096,669,0,0,5,137,20,0,1,4702505265496236069
10,1546,677,1,0,16,13,14,0,1,-4670127707911190936
93,4763,3324,1,0,1,146,19,0,1,-8923269191352911089
10,1239,518,1,0,0,75,15,0,1,8770092646944435716
655,7718,308,0,0,24,43,11,0,1,1093984790774601116
487,29994,6757,1,1,512,108,15,0,1,6998388945231942707
735,4583,826,1,1,95,120,6,2,1,6540894363396159362
22,5195,597,0,1,6,0,12,0,1,-885044325594299092
29,1966,1061,1,1,0,123,30,0,1,1610118068896898209
120,22409,2281,1,1,70,113,16,0,1,-3191891825287770534
1000,4005,1086,0,1,112,125,10,0,1,-1538314618647382878
57,7529,1408,0,1,10,29,16,0,1,3764506279291663124
1000,26157,1109,0,1,79,86,16,0,1,3293995240392684802
201,8410,1458,1,1,157,117,18,0,1,-6001313563980965536
354,898,38,0,1,20,99,7,0,1,7664836704899259380
828,19663,2619,1,1,325,144,7,0,1,8456009845559836150
21,2703,1882,0,0,72,50,20,0,1,-1875334751333146739
75,3906,1570,0,1,9,139,19,0,1,-1758166785684743439
30,10929,363,0,0,18,29,13,0,1,3127504472712652104
14,4205,1247,1,1,70,55,13,0,1,4462615097640744587
54,1827,660,1,1,44,50,16,0,1,1697974876294135481
1000,9190,3480,0,1,37,128,15,3,1,-7031569501498191920
98,3669,391,0,1,29,128,14,0,1,6172607815211338415
115,850,1285,1,0,27,107,12,0,1,1562956607664050593
51,562,1556,0,0,5,0,10,4,1,-752093449927534269
113,7157,1906,1,0,6,150,6,0,1,-6652190670851014398
78,2000,1611,1,0,176,90,14,2,1,-2423929775437391659
1000,26200,4121,1,1,0,119,13,0,1,455760176383595314
67,7931,6669,1,0,27,36,10,2,1,-7694591822978414302
39,324,404,0,0,0,82,9,0,1,5619901551188215563
82,9312,6663,1,0,7,9,14,0,1,6222608518214889612
97,11075,4748,1,1,49,144,8,2,1,5965441407349574753
113,20443,811,1,1,172,52,13,0,1,-7611006994525334651
75,13729,956,0,1,1,130,12,0,1,1603618437365788062
38,1246,1245,0,0,5,28,5,3,1,861127180146101816
11,1804,577,0,0,6,97,9,0,1,-3746650892921235340
12,1414,488,1,0,135,114,10,2,1,1411428801144508491
1000,8675,1799,1,0,205,81,18,0,1,7914810929985112903
64,2402,1729,1,0,24,39,11,3,1,-280511362626779149
26,1903,625,0,0,1,73,10,0,1,7814494733901483234
327,2398,1468,1,0,165,150,8,1,1,-4670385186815054878
141,20593,3891,1,1,512,87,12,0,1,5613705816657093079
148,1549,1660,0,0,4,120,8,4,1,8360921169673153981
11,2199,1100,1,0,44,108,5,2,1,-3513625762383875650
4,264,172,0,0,5,8,12,2,1,-4401293046036701071
502,3968,2127,1,1,87,63,18,0,1,7855521655494444615
65,4415,6777,1,1,2,132,22,1,1,3743359878776470782
38,669,417,1,0,2,12,14,0,1,8928428911011292475
473,20244,1,1,1,1920,140,19,0,1,6163485996237722285
59,1144,2057,1,0,33,133,8,0,1,-8154892832809565867
91,1310,774,0,1,5,132,13,0,1,1690790649681210750
15,82,502,1,0,0,122,11,2,1,-7056390986426887898
14,338,913,0,0,1,53,7,0,1,-6952761479145186895
458,1956,1914,1,1,7,145,18,2,1,-7908356812043463115
594,492,2774,0,1,2,87,7,4,1,-7372193229910233458
63,982,2759,0,1,0,73,11,3,1,-1193234013163362646
303,884,1100,1,0,15,92,10,2,1,8787992676769134032
1,156,451,0,0,0,0,10,0,1,-1739032079429392590
26,334,811,1,0,2,75,14,1,1,-4869406567798069394
0,619,1747,0,1,2,78,18,0,1,5740354900026072187
36,342,806,1,0,5,58,11,6,1,308601641533411565
