learning_rate,hidden_neurons,accuracy
0.01,64,0.5057142972946167
0.1,64,0.522857129573822
0.1,128,0.522857129573822
0.001,128,0.522857129573822
0.001,8,0.522857129573822
0.001,8,0.522857129573822
0.001,8,0.49142858386039734
0.001,8,0.49142858386039734
0.001,8,0.49142858386039734
0.001,8,0.49142858386039734
0.001,8,0.49142858386039734
0.001,8,0.9171428680419922
0.001,8,0.9342857003211975
0.001,8,0.8999999761581421
0.001,8,0.9314285516738892
0.001,16,0.9464285969734192
0.0001,32,0.8803571462631226
0.0005,32,0.9339285492897034
0.0005,32,0.9314285516738892
0.0002,32,0.9228571653366089
0.001,16,0.9599999785423279
